id_mun,id_gb,id_gbmar,gb_sigla,gb_nome,comando_sigla,comando_nome,endereco,numero,complemento,bairro,município,zona,cep,email,telefone_1,telefone_2
3503307,16,,16º GB,16º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Avenida Américo Vespúcio,300,,Algodoal,Piracicaba,,13405-390,16gb@polmil.sp.gov.br,(19) 3421-3034,
3503356,10,,10º GB,10º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Nelson Spielman,1219,,Centro,Marília,,17509-002,10gbcmt@polmil.sp.gov.br,(14) 3424-9944,(14) 3413-9255
3503406,12,,12º GB,12º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua General Marcondes Salgado,232,,Centro,Bauru,,17010-040,12gb@polmil.sp.gov.br,(14) 3222-5553,(14) 3222-7711
3503505,11,,11º GB,11º Grupamento de Bombeiros,CBI-3,Comando de Bombeiros do Interior - Guarujá,Rua Professor Felicio Savastano,350,,Vila Industrial,São José dos Campos,,12220-270,11gbcomsoc@polmil.sp.gov.br,(12) 3912-5590,
3503604,12,,12º GB,12º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua General Marcondes Salgado,232,,Centro,Bauru,,17010-040,12gb@polmil.sp.gov.br,(14) 3222-5553,(14) 3222-7711
3503703,13,,13º GB,13º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida dos Estudantes,1946,,Boa Vista,São José do Rio Preto,,15025-310,13gb@polmil.sp.gov.br,(17) 3222-2600,
3503802,7,,7º GB,7º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Rua José Paulino,792,,Centro,Campinas,,13013-001,7gb@polmil.sp.gov.br,(19) 3739-3004,
3503901,5,,5º GB,5º Grupamento de Bombeiros,CBM,Comando de Bombeiros Metropolitano,Avenida Mariana Ubaldina do Espírito Santo,731,,Bom Clima,Guarulhos,,07197-000,5gb@polmil.sp.gov.br,(11) 2468-2286,(11) 2468-1874
3503950,13,,13º GB,13º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida dos Estudantes,1946,,Boa Vista,São José do Rio Preto,,15025-310,13gb@polmil.sp.gov.br,(17) 3222-2600,
3504008,10,,10º GB,10º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Nelson Spielman,1219,,Centro,Marília,,17509-002,10gbcmt@polmil.sp.gov.br,(14) 3424-9944,(14) 3413-9255
3504107,19,,19º GB,19º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Rua Professor João Batista Curado,120,,Anhangabaú,Jundiaí,,13209-020,19gb@polmil.sp.gov.br,(11) 4521-2666,(11) 4521-2812
3504206,20,,20º GB,20º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua Tenente Alcides Teodoro Santos,193,,Santana,Araçatuba,,16055-250,20gb@polmil.sp.gov.br,(18) 3623-3355,
3504305,12,,12º GB,12º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua General Marcondes Salgado,232,,Centro,Bauru,,17010-040,12gb@polmil.sp.gov.br,(14) 3222-5553,(14) 3222-7711
3504404,20,,20º GB,20º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua Tenente Alcides Teodoro Santos,193,,Santana,Araçatuba,,16055-250,20gb@polmil.sp.gov.br,(18) 3623-3355,
3504503,12,,12º GB,12º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua General Marcondes Salgado,232,,Centro,Bauru,,17010-040,12gb@polmil.sp.gov.br,(14) 3222-5553,(14) 3222-7711
3504602,13,,13º GB,13º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida dos Estudantes,1946,,Boa Vista,São José do Rio Preto,,15025-310,13gb@polmil.sp.gov.br,(17) 3222-2600,
3504701,12,,12º GB,12º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua General Marcondes Salgado,232,,Centro,Bauru,,17010-040,12gb@polmil.sp.gov.br,(14) 3222-5553,(14) 3222-7711
3504800,13,,13º GB,13º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida dos Estudantes,1946,,Boa Vista,São José do Rio Preto,,15025-310,13gb@polmil.sp.gov.br,(17) 3222-2600,
3504909,11,,11º GB,11º Grupamento de Bombeiros,CBI-3,Comando de Bombeiros do Interior - Guarujá,Rua Professor Felicio Savastano,350,,Vila Industrial,São José dos Campos,,12220-270,11gbcomsoc@polmil.sp.gov.br,(12) 3912-5590,
3505005,12,,12º GB,12º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua General Marcondes Salgado,232,,Centro,Bauru,,17010-040,12gb@polmil.sp.gov.br,(14) 3222-5553,(14) 3222-7711
3505104,20,,20º GB,20º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua Tenente Alcides Teodoro Santos,193,,Santana,Araçatuba,,16055-250,20gb@polmil.sp.gov.br,(18) 3623-3355,
3505203,12,,12º GB,12º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua General Marcondes Salgado,232,,Centro,Bauru,,17010-040,12gb@polmil.sp.gov.br,(14) 3222-5553,(14) 3222-7711
3505302,12,,12º GB,12º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua General Marcondes Salgado,232,,Centro,Bauru,,17010-040,12gb@polmil.sp.gov.br,(14) 3222-5553,(14) 3222-7711
3505351,15,,15º GB,15º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Avenida Dom Aguirre,2233,,Jardim Santa Rosália,Sorocaba,,18081-029,15gb@polmil.sp.gov.br,(15) 2101-0193,(15) 2201-0200
3505401,6,,6º GB,6º Grupamento de Bombeiros,CBI-3,Comando de Bombeiros do Interior - Guarujá,Avenida Conselheiro Nébias,184,,Vila Nova,Santos,,11015-000,6gb@polmil.sp.gov.br,(13) 3235-1413,
3505500,9,,9º GB,9º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Cavalheiro Paschoal Innechi,1538,,Jardim Independência,Ribeirão Preto,,14076-010,9gb@polmil.sp.gov.br,(16) 3615-4476,(16) 3615-2600
3505609,9,,9º GB,9º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Cavalheiro Paschoal Innechi,1538,,Jardim Independência,Ribeirão Preto,,14076-010,9gb@polmil.sp.gov.br,(16) 3615-4476,(16) 3615-2600
3505708,18,,18º GB,18º Grupamento de Bombeiros,CBM,Comando de Bombeiros Metropolitano,Rua Cabo PM José Maria Schiavelli,193,,Vila Porto,Barueri,,06410-335,18gb@polmil.sp.gov.br,(11) 4198-6202,(11) 4199-2955
3505807,10,,10º GB,10º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Nelson Spielman,1219,,Centro,Marília,,17509-002,10gbcmt@polmil.sp.gov.br,(14) 3424-9944,(14) 3413-9255
3505906,9,,9º GB,9º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Cavalheiro Paschoal Innechi,1538,,Jardim Independência,Ribeirão Preto,,14076-010,9gb@polmil.sp.gov.br,(16) 3615-4476,(16) 3615-2600
3506003,12,,12º GB,12º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua General Marcondes Salgado,232,,Centro,Bauru,,17010-040,12gb@polmil.sp.gov.br,(14) 3222-5553,(14) 3222-7711
3506102,9,,9º GB,9º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Cavalheiro Paschoal Innechi,1538,,Jardim Independência,Ribeirão Preto,,14076-010,9gb@polmil.sp.gov.br,(16) 3615-4476,(16) 3615-2600
3506201,20,,20º GB,20º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua Tenente Alcides Teodoro Santos,193,,Santana,Araçatuba,,16055-250,20gb@polmil.sp.gov.br,(18) 3623-3355,
3506300,10,,10º GB,10º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Nelson Spielman,1219,,Centro,Marília,,17509-002,10gbcmt@polmil.sp.gov.br,(14) 3424-9944,(14) 3413-9255
3506359,6,99.0,6º GB,6º Grupamento de Bombeiros,CBI-3,Comando de Bombeiros do Interior - Guarujá,Avenida Conselheiro Nébias,184,,Vila Nova,Santos,,11015-000,6gb@polmil.sp.gov.br,(13) 3235-1413,
3506409,20,,20º GB,20º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua Tenente Alcides Teodoro Santos,193,,Santana,Araçatuba,,16055-250,20gb@polmil.sp.gov.br,(18) 3623-3355,
3506508,20,,20º GB,20º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua Tenente Alcides Teodoro Santos,193,,Santana,Araçatuba,,16055-250,20gb@polmil.sp.gov.br,(18) 3623-3355,
3506607,17,,17º GB,17º Grupamento de Bombeiros,CBM,Comando de Bombeiros Metropolitano,,0,,,,,,17gb@polmil.sp.gov.br,,
3506706,9,,9º GB,9º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Cavalheiro Paschoal Innechi,1538,,Jardim Independência,Ribeirão Preto,,14076-010,9gb@polmil.sp.gov.br,(16) 3615-4476,(16) 3615-2600
3506805,12,,12º GB,12º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua General Marcondes Salgado,232,,Centro,Bauru,,17010-040,12gb@polmil.sp.gov.br,(14) 3222-5553,(14) 3222-7711
3506904,12,,12º GB,12º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua General Marcondes Salgado,232,,Centro,Bauru,,17010-040,12gb@polmil.sp.gov.br,(14) 3222-5553,(14) 3222-7711
3507001,15,,15º GB,15º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Avenida Dom Aguirre,2233,,Jardim Santa Rosália,Sorocaba,,18081-029,15gb@polmil.sp.gov.br,(15) 2101-0193,(15) 2201-0200
3507100,19,,19º GB,19º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Rua Professor João Batista Curado,120,,Anhangabaú,Jundiaí,,13209-020,19gb@polmil.sp.gov.br,(11) 4521-2666,(11) 4521-2812
3507159,15,,15º GB,15º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Avenida Dom Aguirre,2233,,Jardim Santa Rosália,Sorocaba,,18081-029,15gb@polmil.sp.gov.br,(15) 2101-0193,(15) 2201-0200
3507209,10,,10º GB,10º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Nelson Spielman,1219,,Centro,Marília,,17509-002,10gbcmt@polmil.sp.gov.br,(14) 3424-9944,(14) 3413-9255
3507308,12,,12º GB,12º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua General Marcondes Salgado,232,,Centro,Bauru,,17010-040,12gb@polmil.sp.gov.br,(14) 3222-5553,(14) 3222-7711
3507407,9,,9º GB,9º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Cavalheiro Paschoal Innechi,1538,,Jardim Independência,Ribeirão Preto,,14076-010,9gb@polmil.sp.gov.br,(16) 3615-4476,(16) 3615-2600
3507456,12,,12º GB,12º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua General Marcondes Salgado,232,,Centro,Bauru,,17010-040,12gb@polmil.sp.gov.br,(14) 3222-5553,(14) 3222-7711
3507506,12,,12º GB,12º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua General Marcondes Salgado,232,,Centro,Bauru,,17010-040,12gb@polmil.sp.gov.br,(14) 3222-5553,(14) 3222-7711
3507605,19,,19º GB,19º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Rua Professor João Batista Curado,120,,Anhangabaú,Jundiaí,,13209-020,19gb@polmil.sp.gov.br,(11) 4521-2666,(11) 4521-2812
3507704,20,,20º GB,20º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua Tenente Alcides Teodoro Santos,193,,Santana,Araçatuba,,16055-250,20gb@polmil.sp.gov.br,(18) 3623-3355,
3507753,20,,20º GB,20º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua Tenente Alcides Teodoro Santos,193,,Santana,Araçatuba,,16055-250,20gb@polmil.sp.gov.br,(18) 3623-3355,
3507803,9,,9º GB,9º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Cavalheiro Paschoal Innechi,1538,,Jardim Independência,Ribeirão Preto,,14076-010,9gb@polmil.sp.gov.br,(16) 3615-4476,(16) 3615-2600
3507902,9,,9º GB,9º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Cavalheiro Paschoal Innechi,1538,,Jardim Independência,Ribeirão Preto,,14076-010,9gb@polmil.sp.gov.br,(16) 3615-4476,(16) 3615-2600
3508009,15,,15º GB,15º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Avenida Dom Aguirre,2233,,Jardim Santa Rosália,Sorocaba,,18081-029,15gb@polmil.sp.gov.br,(15) 2101-0193,(15) 2201-0200
3508108,20,,20º GB,20º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua Tenente Alcides Teodoro Santos,193,,Santana,Araçatuba,,16055-250,20gb@polmil.sp.gov.br,(18) 3623-3355,
3508207,9,,9º GB,9º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Cavalheiro Paschoal Innechi,1538,,Jardim Independência,Ribeirão Preto,,14076-010,9gb@polmil.sp.gov.br,(16) 3615-4476,(16) 3615-2600
3508306,12,,12º GB,12º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua General Marcondes Salgado,232,,Centro,Bauru,,17010-040,12gb@polmil.sp.gov.br,(14) 3222-5553,(14) 3222-7711
3508405,19,,19º GB,19º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Rua Professor João Batista Curado,120,,Anhangabaú,Jundiaí,,13209-020,19gb@polmil.sp.gov.br,(11) 4521-2666,(11) 4521-2812
3508504,11,,11º GB,11º Grupamento de Bombeiros,CBI-3,Comando de Bombeiros do Interior - Guarujá,Rua Professor Felicio Savastano,350,,Vila Industrial,São José dos Campos,,12220-270,11gbcomsoc@polmil.sp.gov.br,(12) 3912-5590,
3508603,11,,11º GB,11º Grupamento de Bombeiros,CBI-3,Comando de Bombeiros do Interior - Guarujá,Rua Professor Felicio Savastano,350,,Vila Industrial,São José dos Campos,,12220-270,11gbcomsoc@polmil.sp.gov.br,(12) 3912-5590,
3508702,16,,16º GB,16º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Avenida Américo Vespúcio,300,,Algodoal,Piracicaba,,13405-390,16gb@polmil.sp.gov.br,(19) 3421-3034,
3508801,12,,12º GB,12º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua General Marcondes Salgado,232,,Centro,Bauru,,17010-040,12gb@polmil.sp.gov.br,(14) 3222-5553,(14) 3222-7711
3508900,14,,14º GB,14º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Joaquim Constantino,351,,Vila Formosa,Presidente Prudente,,19053-300,14gbb3op@polmil.sp.gov.br,(18) 3223-2002,
3509007,5,,5º GB,5º Grupamento de Bombeiros,CBM,Comando de Bombeiros Metropolitano,Avenida Mariana Ubaldina do Espírito Santo,731,,Bom Clima,Guarulhos,,07197-000,5gb@polmil.sp.gov.br,(11) 2468-2286,(11) 2468-1874
3509106,14,,14º GB,14º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Joaquim Constantino,351,,Vila Formosa,Presidente Prudente,,19053-300,14gbb3op@polmil.sp.gov.br,(18) 3223-2002,
3509205,5,,5º GB,5º Grupamento de Bombeiros,CBM,Comando de Bombeiros Metropolitano,Avenida Mariana Ubaldina do Espírito Santo,731,,Bom Clima,Guarulhos,,07197-000,5gb@polmil.sp.gov.br,(11) 2468-2286,(11) 2468-1874
3509254,6,,6º GB,6º Grupamento de Bombeiros,CBI-3,Comando de Bombeiros do Interior - Guarujá,Avenida Conselheiro Nébias,184,,Vila Nova,Santos,,11015-000,6gb@polmil.sp.gov.br,(13) 3235-1413,
3509304,9,,9º GB,9º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Cavalheiro Paschoal Innechi,1538,,Jardim Independência,Ribeirão Preto,,14076-010,9gb@polmil.sp.gov.br,(16) 3615-4476,(16) 3615-2600
3509403,9,,9º GB,9º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Cavalheiro Paschoal Innechi,1538,,Jardim Independência,Ribeirão Preto,,14076-010,9gb@polmil.sp.gov.br,(16) 3615-4476,(16) 3615-2600
3509452,15,,15º GB,15º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Avenida Dom Aguirre,2233,,Jardim Santa Rosália,Sorocaba,,18081-029,15gb@polmil.sp.gov.br,(15) 2101-0193,(15) 2201-0200
3509502,7,,7º GB,7º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Rua José Paulino,792,,Centro,Campinas,,13013-001,7gb@polmil.sp.gov.br,(19) 3739-3004,
3509601,19,,19º GB,19º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Rua Professor João Batista Curado,120,,Anhangabaú,Jundiaí,,13209-020,19gb@polmil.sp.gov.br,(11) 4521-2666,(11) 4521-2812
3509700,11,,11º GB,11º Grupamento de Bombeiros,CBI-3,Comando de Bombeiros do Interior - Guarujá,Rua Professor Felicio Savastano,350,,Vila Industrial,São José dos Campos,,12220-270,11gbcomsoc@polmil.sp.gov.br,(12) 3912-5590,
